"business_name","trading_name","trade_category","website","phone","general_email","suburb","region","source_url","staff_estimate","staff_evidence","work_mix","work_mix_evidence","years_trading","abn_status","decision_maker_name","decision_maker_role","decision_maker_linkedin","signal_hiring","signal_fleet","signal_yard_or_depot","signal_commercial_projects","signal_accreditations","current_software_visible","fit_score","score_reasoning","call_angle","confidence"
"Floortek Group Pty Ltd","Floortek","Waterproofing (commercial flooring & waterproofing contractor)","https://floortek.com.au","08 7134 2003","enquiries@floortek.com.au","Thebarton","metro","https://floortek.com.au/about/","11-50","LinkedIn company page band: ""11-50 employees"". Site: ""Our crews are directly employed. No labour hire. No subbies on the tools.""","commercial","""03 Commercial Only ... We don't do residential work. Every system we specify, every crew we field, and every process we run is calibrated for commercial construction""","ABN active from 05 Jul 2016 (~10 years); site: ""We were established in 2016""","Active - ABN 21 613 473 626, FLOORTEK GROUP PTY LTD, Australian Private Company, SA 5031; business name ""Floortek Group"" from 01 May 2020","Anthony Gouros","Founder / Director","https://www.linkedin.com/company/floortek-group","N - no careers page or job ad found","","","Y - ""Waterproofing Adelaide Festival Tower""; ""Epoxy & Waterproofing SkyCity Adelaide Casino Expansion""; Queen Elizabeth Hospital Car Park; Lot Fourteen Bice Building; RAAF Base Edinburgh LAND19","12+ month workmanship warranty stated; founder holds Bachelor of Built Environment (UniSA). No ISO or association membership published.","","8","+2 staff band 11-50 confirmed on LinkedIn company page; +2 commercial confirmed (explicitly commercial-only); +2 owner-led confirmed (Anthony Gouros founded/acquired and runs it); +1 named decision maker with contact path (site + company LinkedIn); +1 multi-crew, directly-employed crews across 750+ projects. No hiring ad found (0). No manual-process evidence either way (0).","Commercial-only, self-delivered crews, 750+ projects since 2016 - ask how they track crew allocation and programme dates across concurrent builder sites without labour hire to absorb overflow.","high"
"MEZ CONTRACTING (AUS) PTY LTD","Dayproof Waterproofing","Waterproofing (commercial membranes)","https://dayproof.com.au","+61 8 8346 0924","george.rowan@dayproof.com.au","Klemzig","metro","https://dayproof.com.au/about/","","""Between them, our team have over 80 years' experience in the installation of all types of waterproofing membranes."" Site CTA: ""Discuss your next project with one of our engineers"" (plural). No headcount published; no LinkedIn company page found.","commercial","""Dayproof Waterproofing has been the leading supplier and installer of waterproofing membranes on commercial building projects in Adelaide for over 40 years.""","ABN active from 03 Aug 2017; business name ""Dayproof Waterproofing"" registered 30 Apr 2023; site claims ""over 40 years"" of trading history","Active - ABN 68 620 869 196, MEZ CONTRACTING (AUS) PTY LTD, Australian Private Company, SA 5010, GST registered from 03 Aug 2017","George Rowan","","","N - no careers page or job ad found","","Y - dedicated industrial premises, ""Unit 4 / 13 Thames Ave, Klemzig SA 5087""","Y - SAHMRI; Adelaide Convention Centre; Commonwealth Law Courts; SA Water Building; Adelaide Zoo Panda House; Rundle Place; Minda Brighton Dunes; Regis Aged Care Burnside","""accredited and recommended South Australian applicators for Ardex, Parchem, Tremco, Casali, Krystol, Sika, Mapei & Vulkem Membrane Systems""; ""Member Concrete Institute of Australia""; ""State President SA - Concrete Institute of Australia""; SA Lic 304834; Qld Lic QBCC 1280714","","6","+2 commercial confirmed; +2 multi-crew commercial scale places them in the 8-50 band (""1219 + projects delivered"", multiple membrane systems, in-house engineers, tier-1 commercial jobs) though no headcount is published so staff_estimate left blank; +1 named decision maker with direct contact path (george.rowan@dayproof.com.au published as site contact); +1 multi-crew / multi-system operation. Owner-led not confirmed (0). No hiring ad (0). No manual-process evidence (0).","1219+ commercial projects and six membrane systems run out of one Klemzig depot - ask how they schedule applicator crews and capture torch-on/bentonite QA sign-offs across concurrent tier-1 sites.","medium"
"Advanced Building Services Pty Ltd","Advanced Building Services","Waterproofing (waterproofing, epoxy coating & resurfacing)","https://www.advancedbuildingservices.com.au","0419 849 306","advancedbs@bigpond.com","Williamstown","regional","https://www.advancedbuildingservices.com.au/about-us","","""Our team has the expertise to get the job done right the first time."" No headcount published; no LinkedIn company page found.","mixed","""we offer dedicated building solutions to commercial and residential customers""; service list includes ""Commercial waterproofing""","ABN active from 08 Dec 2005 (~20 years); site: ""Established in 2005""","Active - ABN 87 117 476 945, Advanced Building Services Pty Ltd, Australian Private Company, SA 5351","Lloyd Wegener","Owner","","N - no careers page or job ad found","","","N - commercial work claimed but no named project published","""a member of the Master Builders Association""; site has an ""Accreditations:"" block","","6","+2 commercial/mixed confirmed; +2 owner-led and family-owned confirmed (""Our owner Lloyd Wegener ... he started Advanced Building Services Pty Ltd ... he turned the company into a hugely successful local family business""); +1 named decision maker with a contact path; +1 manual-process signal (bigpond.com email, single mobile number, no client portal or online booking). Staff band not evidenced so no +2 and staff_estimate left blank. No hiring ad (0). No multi-crew evidence (0).","Owner Lloyd Wegener has run this since 2005 on a mobile and a bigpond address - lead with getting job records and variations off paper before the next MBA-referred commercial job.","low"
"PATCH AND CAULK PTY LTD","Patch and Caulk","Waterproofing (caulking, concrete remediation & waterproofing)","https://patchandcaulk.com.au","0435 201 975","projects@patchandcaulk.com.au","Edinburgh","metro","https://patchandcaulk.com.au/","","""With an efficient, reliable team of technicians""; ""one or more of our experienced technicians can inspect your project"". No headcount published on the company's own site; no company LinkedIn page found.","mixed (commercial-weighted)","""We perform reputable construction caulking on commercial, industrial, and residential buildings in Adelaide, South Australia.""; ""successfully completed over 1000 + Tier 1 & 2 projects throughout Australia""","ABN active from 14 Oct 2015 (~11 years); site banner claims ""40 years""","Active - ABN 26 608 738 405, PATCH AND CAULK PTY LTD, Australian Private Company, SA 5501","","","","N - no careers page or job ad found","","Y - dedicated industrial premises, ""Unit 12 57-61 West Avenue Edinburgh SA 5111""","Y - ""over 1000 + Tier 1 & 2 projects"" and ""large civil bulk grout filling projects"" claimed; no individual project named on site","""ewp, scissor, scaffolding""; ""w.a.h ticketed""; ""confined spaces ticketed""; ""rf eme awareness (awr02) ticketed""; ""dhs clearance""","","5","+2 commercial/industrial confirmed; +2 crewed operation at a scale consistent with the 8-50 band (team of technicians, ticketed EWP/confined-space workforce, Putzmeister SP11 pump plant, 1000+ Tier 1 & 2 projects) though no headcount is published so staff_estimate left blank; +1 multi-crew / multi-discipline (caulking, concrete remediation, epoxy injection, grouting run concurrently). Owner-led not confirmed (0). No named decision maker from a company source (0) - the only LinkedIn link on the site is a personal profile, excluded by the sourcing rules. No hiring ad (0).","Ticketed crews across caulking, remediation and injection on Tier 1 & 2 sites - ask how they schedule confined-space and EWP-ticketed workers and evidence compliance per job.","medium"
"DELCORP WATERPROOFING AND FLOORING PTY LTD","XS Waterproofing & Flooring","Waterproofing (membranes & floor coatings)","https://www.xswaterproofing.com.au","0422 318 885","info@xswaterproofing.com.au","Stepney","metro","https://www.xswaterproofing.com.au/","","Two principals published as business contacts: ""Reno 0422 318 885 or Dominic 0421 339 392"". No headcount published; no company LinkedIn page found.","mixed (commercial/industrial-weighted)","""It is suitable for all commercial, industrial and infrastructure applications""; services listed include below-ground waterproofing for basements and torch-applied/sheet membranes","Site: ""15 Years Operating"" and ""over 30 years experience"". Current ABN active from 30 Sep 2022 (entity re-registered; business name ""XS WATERPROOFING & FLOORING"" from 09 Aug 2024 sits under a second entity, DELCORP WATERPROOFING & FLOORING SERVICES PTY LTD, ABN 46 679 605 406)","Active - ABN 55 662 811 252 (as published on the site), DELCORP WATERPROOFING AND FLOORING PTY LTD, Australian Private Company, SA 5083","Reno","","","N - no careers page or job ad found","","Y - premises at ""33 Nelson Street Stepney SA 5069""","Y - commercial/industrial/infrastructure capability stated and a projects gallery published; no individual project named on site","Building licence ""BLD 323458"" published on site","","5","+2 commercial/industrial/infrastructure confirmed; +2 family-owned confirmed (""XS Waterproofing are a passionate family owned business"" and a ""Family Run Business"" badge); +1 named decision maker with a published business contact path (Reno, plus Dominic). Staff band not evidenced - only two principals are named and no crew size is published, so no +2 and staff_estimate left blank. No hiring ad (0). No multi-crew evidence (0).","Family-run, spray-applied polyurea plant and a Stepney yard - ask Reno how two principals keep membrane job records and site handovers straight once several crews are out at once.","medium"
"Hydroproof","Hydroproof","Waterproofing (wet areas, membranes & below-ground)","https://www.hydroproof.com.au","0417 863 127","info@hydroproof.com.au","","metro","https://www.hydroproof.com.au/","","""Hydroproof employs police and child safe clearance staff (we do not use subcontractors)."" Confirms directly-employed workforce but no headcount is published; no company LinkedIn page found.","mixed","""Hydroproof core business is specialist waterproofing for both the residential and commercial building sectors for over 20 years."" Client list is weighted to volume residential builders.","Site: ""for over 20 years"" (home page) and ""for over 21 years"" (contact page). No ABN found under this name.","","Ward","","","N - no careers page or job ad found","","","N - commercial sector work claimed; named references are builder clients (Metricon, Weeks Building Group, MJH Group, Scott Salisbury, Belperio, Claridge Homes Construction), not named commercial projects","""police and child safe clearance staff""","","5","+2 mixed commercial/residential confirmed; +1 named decision maker with a direct contact path (ward@hydroproof.com.au, published on the contact page); +1 manual-process signal (dated site, phone/email-only contact, no client portal or online booking, ""We look forward to tender for any projects""); +1 multi-crew - directly employs cleared staff and services six named builder groups plus developers concurrently. Staff band not evidenced so no +2 and staff_estimate left blank. Owner-led not confirmed (0). No hiring ad (0).","Runs six volume-builder accounts off a mobile and an email address with no subbies - ask Ward how jobs get dispatched and how compliance certificates reach each builder.","medium"
"Universal Waterproofing","Universal Waterproofing","Waterproofing (wet areas, cellars, retaining walls & caulking)","https://universalwaterproofing.com.au","0499 028 300","info@universalwaterproofing.com.au","","metro","https://universalwaterproofing.com.au/about","","""With a large fleet of vans on the road ... we are well equipped to handle all your waterproofing requirements"". Fleet implies multiple crews but no headcount is published; no company LinkedIn page found.","","Site describes ""Full system waterproofing for wet areas, cellars & retaining walls"" and work ""big or small"" but does not state commercial or domestic split.","Site: ""over 25 years of experience"". No ABN found under this name.","","","","","N - no careers page or job ad found","Y - ""a large fleet of vans on the road""","","N - no commercial project named","","Unnamed job tracking/scheduling platform - ""cutting edge live job tracking & scheduling software""","1","+1 multi-crew (large fleet of vans). Commercial work not confirmed (0). Staff band not evidenced (0). Owner-led not confirmed (0). No named decision maker (0). No hiring ad (0). Manual-process point explicitly NOT awarded - they already advertise ""cutting edge live job tracking & scheduling software"". No -3 applied because no major platform is named, but this is a displacement conversation, not a greenfield one.","Already running live job tracking and scheduling - a 'what doesn't it do?' call: ask which parts of the membrane workflow (compliance certificates, variations, photo evidence) still fall outside the current tool.","medium"
"Adelaide Partitions and Ceilings Pty Ltd","Adelaide Partitions & Ceilings (APC)","Plastering / gyprock / ceilings & partitions","https://www.adelaidepartitionsandceilings.com","0406 052 452","adelaidepartitions@bigpond.com","Wingfield","metro","https://www.adelaidepartitionsandceilings.com/about","","Four named staff published with roles and tenure: Patrick (Director, since 2006), Patricia (Co-Director), Paul (Project Manager, since 2009), Alfredo (Senior Estimator, since 2009). ""we've grown from a small Adelaide operation to a subcontractor capable of resourcing large, complex packages"". No headcount published; surnames not published.","commercial","""We operate exclusively in the commercial sector. Every project we take on is for a licensed builder or head contractor - we don't do residential work, renovations, or private enquiries.""","ABN active from 01 Jul 2006 (~20 years); site: ""delivering quality partitioning and ceiling solutions since 2006""","Active - ABN 61 120 437 729, Adelaide Partitions and Ceilings Pty Ltd, Australian Private Company, SA 5013","Patrick","Director (holds Building Licence BLD186942; responsible for site supervision and OHS)","","N - no careers page (the /careers URL returns 404)","","Y - ""unit 4/302 Cormack Road, Wingfield, 5013"", an industrial-estate unit","Y - Coopers Brewery; 150 Grenfell Street; St Francis de Sales College Mount Barker. ""more than 90 commercial packages above $250,000 - totalling over $100 million in combined project value""","AWCI Australia Member; Co-Director serves on the SA Committee of AWCI Australia; Building Licence BLD186942","","8","+2 crewed operation consistent with the 8-50 band (four named office/management staff plus install crews, 90+ packages above $250k, ""capable of resourcing large, complex packages"") though no headcount is published so staff_estimate left blank; +2 commercial confirmed (explicitly commercial-only, builders and head contractors only); +2 owner-led confirmed (Patrick Director since founding, Patricia Co-Director running admin/accounts/payroll); +1 named decision maker with contact path; +1 manual-process signal (bigpond.com address as the published business email, no portal, mobile-first contact). Multi-crew implied but not stated (0). No hiring ad (0).","90+ commercial packages over $100M since 2006, still run off a bigpond address with Patricia doing accounts, payroll and compliance by hand - lead with getting her admin load onto one system.","high"
"MASTER LININGS AND ALUMINIUM PTY LTD","Master Linings","Plastering / gyprock / ceilings & partitions","https://masterlinings.com.au","0433 640 820","info@masterlinings.com.au","","metro","https://masterlinings.com.au/","","Six named team members published with roles: Matt Curyer (Director, Supervisor Licence BLD 218185), Sharon Curyer (Director), Daryl Curyer (Project Manager), Shervin Gohari (Project Manager, B.Eng Civil), Kevin Ecklor (Site Supervisor), Russell Dick (Site Supervisor). Two site supervisors indicates at least two concurrent crews. No headcount published.","commercial","""We are a passionate wall and ceiling contractor that specialises in commercial walls and ceilings.""; ""Our projects have included hospitals, schools, shopping centres, and offices.""","ABN active from 11 Apr 2018 (~8 years) for the current entity; directors' bios show continuous wall-and-ceiling industry roles from 1993","Active - ABN 54 625 523 766, MASTER LININGS AND ALUMINIUM PTY LTD, Australian Private Company, SA 5014 (business name ""MASTER LININGS"", ABN 55 334 618 826, also active)","Matt Curyer","Director","","N - no careers page or job ad found","","","Y - ""Our projects have included hospitals, schools, shopping centres, and offices""; no individual project named","Supervisor Licence BLD 218185; AWCI Certificate Passive fire protection (two staff); Test and Tag certificate TTT20234; KNAUF systems installer, ""All materials and systems are warranted""; Daryl Curyer is a current National AWCIANZ Technical committee member and a former AWCI CEO (2008-2015); Sharon Curyer is a former AWCI CEO (2015-2019)","","8","+2 crewed operation consistent with the 8-50 band (six named staff including two site supervisors and two project managers, implying multiple concurrent crews) though no headcount is published so staff_estimate left blank; +2 commercial confirmed; +2 family-owned confirmed (three Curyers - Matt and Sharon as Directors, Daryl as Project Manager); +1 named decision maker with contact path; +1 multi-crew (two site supervisors). No hiring ad (0). No manual-process evidence (0).","Two site supervisors, two project managers and a family board - unusually deep management for the size; ask Matt how site diaries and supervisor reports get back to the office across concurrent hospital and school packages.","high"
"CEILING & WALL CONTRACTORS (AUSTRALIA) PTY LTD","Ceiling and Wall Contractors Australia","Plastering / gyprock / ceilings & partitions","https://ceilingandwall.com","(08) 8292 6600","","Blair Athol","metro","https://ceilingandwall.com/contact/contact-south-australia.html","","""We operate and have a full time office in South Australia and Western Australia."" Two full-time offices and a 30+ year commercial trading history indicate a substantial crewed operation, but no headcount and no named staff are published.","commercial","""a specialist contractor operating in the supply and installation of suspended ceilings, steel stud partitions, fire-rated systems, acoustic systems, insulation, Barrisol ceilings, internal aluminium windows and doors and general fit outs in the commercial construction market""","Site: ""in operation since Feb 1992"" (~34 years). Current ABN entity active from 27 Jan 2016","Active - ABN 38 610 414 241, CEILING & WALL CONTRACTORS (AUSTRALIA) PTY LTD, Australian Private Company, SA 5084 (business name ""Ceiling & Wall Contractors"", ABN 63 675 430 099, also active, SA 5084)","","","","N - no careers page or job ad found","","Y - ""110-112 Grand Junction Road, Blair Athol, SA 5084""","Y - ""projects for all types of industries including airport & transport, educational facilities, hospital & medical, hotels & hospitality, offices & commercial spaces, residential apartments and sports & leisure facilities""; no individual project named","","","5","+2 commercial confirmed; +2 scale consistent with the 8-50 band (two full-time offices, 34-year commercial trading history, broad system range including Barrisol and fire-rated) though no headcount is published so staff_estimate left blank; +1 multi-site operation (Adelaide and Perth offices). Owner-led not confirmed (0). No named decision maker (0). No hiring ad (0). No manual-process evidence (0). NOT excluded as a multi-state corporate: the registered entity and head office are both SA (Blair Athol), with a single second office in WA - flagged for review if a strict single-state rule applies.","Two offices across SA and WA with no published contact name - ask how Adelaide and Perth share programme and QA records, and where the Barrisol and fire-rated certification paperwork lives.","medium"
